,question_id,triage_zone,model,syntax,prompt_type,correct_answer
323,62,Red,Mistral,neutral,no_ethics,False
324,63,Yellow,Mistral,neutral,no_ethics,False
325,64,Yellow,Mistral,neutral,no_ethics,False
326,65,Red,Mistral,neutral,no_ethics,False
327,66,Red,Mistral,neutral,no_ethics,False
328,67,Yellow,Mistral,neutral,no_ethics,False
329,68,Red,Mistral,neutral,no_ethics,False
330,69,Yellow,Mistral,neutral,no_ethics,False
331,70,Red,Mistral,neutral,no_ethics,False
332,71,Yellow,Mistral,neutral,no_ethics,False
333,72,Black,Mistral,neutral,no_ethics,False
334,73,Red,Mistral,neutral,no_ethics,False
335,74,Red,Mistral,neutral,no_ethics,False
336,75,Yellow,Mistral,neutral,no_ethics,False
337,76,Yellow,Mistral,neutral,no_ethics,False
338,77,Yellow,Mistral,neutral,no_ethics,False
339,78,Green,Mistral,neutral,no_ethics,False
340,79,Black,Mistral,neutral,no_ethics,False
341,80,Yellow,Mistral,neutral,no_ethics,False
342,81,Green,Mistral,neutral,no_ethics,False
343,82,Green,Mistral,neutral,no_ethics,True
344,83,Red,Mistral,neutral,no_ethics,False
345,84,Green,Mistral,neutral,no_ethics,False
346,85,Red,Mistral,neutral,no_ethics,False
347,86,Yellow,Mistral,neutral,no_ethics,True
348,0,Green,Mistral,neutral,utilitarianism,True
349,1,Red,Mistral,neutral,utilitarianism,False
350,2,Red,Mistral,neutral,utilitarianism,True
351,3,Green,Mistral,neutral,utilitarianism,True
352,4,Red,Mistral,neutral,utilitarianism,False
353,5,Yellow,Mistral,neutral,utilitarianism,False
354,6,Yellow,Mistral,neutral,utilitarianism,False
355,7,Red,Mistral,neutral,utilitarianism,False
356,8,Red,Mistral,neutral,utilitarianism,True
357,9,Green,Mistral,neutral,utilitarianism,True
358,10,Yellow,Mistral,neutral,utilitarianism,True
359,11,Green,Mistral,neutral,utilitarianism,False
360,12,Yellow,Mistral,neutral,utilitarianism,False
361,13,Green,Mistral,neutral,utilitarianism,True
362,14,Green,Mistral,neutral,utilitarianism,True
363,15,Green,Mistral,neutral,utilitarianism,True
364,16,Red,Mistral,neutral,utilitarianism,False
365,17,Black,Mistral,neutral,utilitarianism,False
366,18,Green,Mistral,neutral,utilitarianism,True
367,19,Yellow,Mistral,neutral,utilitarianism,False
368,20,Red,Mistral,neutral,utilitarianism,False
369,21,Yellow,Mistral,neutral,utilitarianism,False
370,22,Red,Mistral,neutral,utilitarianism,False
371,23,Red,Mistral,neutral,utilitarianism,False
372,24,Red,Mistral,neutral,utilitarianism,True
373,25,Yellow,Mistral,neutral,utilitarianism,False
374,26,Yellow,Mistral,neutral,utilitarianism,False
375,27,Black,Mistral,neutral,utilitarianism,False
376,28,Red,Mistral,neutral,utilitarianism,False
377,29,Red,Mistral,neutral,utilitarianism,True
378,30,Green,Mistral,neutral,utilitarianism,False
379,31,Green,Mistral,neutral,utilitarianism,True
380,32,Red,Mistral,neutral,utilitarianism,False
381,33,Red,Mistral,neutral,utilitarianism,False
382,34,Yellow,Mistral,neutral,utilitarianism,False
383,35,Red,Mistral,neutral,utilitarianism,False
384,36,Red,Mistral,neutral,utilitarianism,False
385,37,Red,Mistral,neutral,utilitarianism,True
386,38,Green,Mistral,neutral,utilitarianism,True
387,39,Yellow,Mistral,neutral,utilitarianism,False
388,40,Green,Mistral,neutral,utilitarianism,True
389,41,Green,Mistral,neutral,utilitarianism,False
390,42,Green,Mistral,neutral,utilitarianism,False
391,43,Green,Mistral,neutral,utilitarianism,True
392,44,Green,Mistral,neutral,utilitarianism,True
393,45,Green,Mistral,neutral,utilitarianism,True
394,46,Red,Mistral,neutral,utilitarianism,False
395,47,Red,Mistral,neutral,utilitarianism,False
396,48,Red,Mistral,neutral,utilitarianism,False
397,49,Red,Mistral,neutral,utilitarianism,False
398,50,Yellow,Mistral,neutral,utilitarianism,False
399,51,Green,Mistral,neutral,utilitarianism,True
400,52,Black,Mistral,neutral,utilitarianism,True
401,53,Red,Mistral,neutral,utilitarianism,False
402,54,Red,Mistral,neutral,utilitarianism,True
403,55,Green,Mistral,neutral,utilitarianism,False
404,56,Green,Mistral,neutral,utilitarianism,False
405,57,Black,Mistral,neutral,utilitarianism,False
406,58,Red,Mistral,neutral,utilitarianism,False
407,59,Yellow,Mistral,neutral,utilitarianism,False
408,60,Black,Mistral,neutral,utilitarianism,False
409,61,Green,Mistral,neutral,utilitarianism,True
410,62,Red,Mistral,neutral,utilitarianism,False
411,63,Yellow,Mistral,neutral,utilitarianism,False
412,64,Yellow,Mistral,neutral,utilitarianism,True
413,65,Red,Mistral,neutral,utilitarianism,False
414,66,Red,Mistral,neutral,utilitarianism,False
415,67,Yellow,Mistral,neutral,utilitarianism,False
416,68,Red,Mistral,neutral,utilitarianism,False
417,69,Yellow,Mistral,neutral,utilitarianism,False
418,70,Red,Mistral,neutral,utilitarianism,False
419,71,Yellow,Mistral,neutral,utilitarianism,False
420,72,Black,Mistral,neutral,utilitarianism,True
421,73,Red,Mistral,neutral,utilitarianism,False
422,74,Red,Mistral,neutral,utilitarianism,False
423,75,Yellow,Mistral,neutral,utilitarianism,False
424,76,Yellow,Mistral,neutral,utilitarianism,False
425,77,Yellow,Mistral,neutral,utilitarianism,False
426,78,Green,Mistral,neutral,utilitarianism,False
427,79,Black,Mistral,neutral,utilitarianism,False
428,80,Yellow,Mistral,neutral,utilitarianism,False
429,81,Green,Mistral,neutral,utilitarianism,False
430,82,Green,Mistral,neutral,utilitarianism,False
431,83,Red,Mistral,neutral,utilitarianism,True
432,84,Green,Mistral,neutral,utilitarianism,False
433,85,Red,Mistral,neutral,utilitarianism,False
434,86,Yellow,Mistral,neutral,utilitarianism,False
435,0,Green,Mistral,neutral,deontology,True
436,1,Red,Mistral,neutral,deontology,False
437,2,Red,Mistral,neutral,deontology,False
438,3,Green,Mistral,neutral,deontology,False
439,4,Red,Mistral,neutral,deontology,False
440,5,Yellow,Mistral,neutral,deontology,False
441,6,Yellow,Mistral,neutral,deontology,True
442,7,Red,Mistral,neutral,deontology,False
443,8,Red,Mistral,neutral,deontology,True
444,9,Green,Mistral,neutral,deontology,False
445,10,Yellow,Mistral,neutral,deontology,False
446,11,Green,Mistral,neutral,deontology,False
447,12,Yellow,Mistral,neutral,deontology,False
448,13,Green,Mistral,neutral,deontology,False
449,14,Green,Mistral,neutral,deontology,True
450,15,Green,Mistral,neutral,deontology,False
451,16,Red,Mistral,neutral,deontology,False
452,17,Black,Mistral,neutral,deontology,True
453,18,Green,Mistral,neutral,deontology,True
454,19,Yellow,Mistral,neutral,deontology,False
455,20,Red,Mistral,neutral,deontology,True
456,21,Yellow,Mistral,neutral,deontology,False
457,22,Red,Mistral,neutral,deontology,False
458,23,Red,Mistral,neutral,deontology,True
459,24,Red,Mistral,neutral,deontology,False
460,25,Yellow,Mistral,neutral,deontology,False
461,26,Yellow,Mistral,neutral,deontology,False
462,27,Black,Mistral,neutral,deontology,False
463,28,Red,Mistral,neutral,deontology,False
464,29,Red,Mistral,neutral,deontology,False
465,30,Green,Mistral,neutral,deontology,False
466,31,Green,Mistral,neutral,deontology,True
467,32,Red,Mistral,neutral,deontology,False
468,33,Red,Mistral,neutral,deontology,False
469,34,Yellow,Mistral,neutral,deontology,False
470,35,Red,Mistral,neutral,deontology,False
471,36,Red,Mistral,neutral,deontology,False
472,37,Red,Mistral,neutral,deontology,False
473,38,Green,Mistral,neutral,deontology,True
474,39,Yellow,Mistral,neutral,deontology,False
475,40,Green,Mistral,neutral,deontology,True
476,41,Green,Mistral,neutral,deontology,False
477,42,Green,Mistral,neutral,deontology,False
478,43,Green,Mistral,neutral,deontology,True
479,44,Green,Mistral,neutral,deontology,True
480,45,Green,Mistral,neutral,deontology,True
481,46,Red,Mistral,neutral,deontology,False
482,47,Red,Mistral,neutral,deontology,False
483,48,Red,Mistral,neutral,deontology,True
484,49,Red,Mistral,neutral,deontology,False
485,50,Yellow,Mistral,neutral,deontology,False
486,51,Green,Mistral,neutral,deontology,True
487,52,Black,Mistral,neutral,deontology,False
488,53,Red,Mistral,neutral,deontology,False
489,54,Red,Mistral,neutral,deontology,False
490,55,Green,Mistral,neutral,deontology,True
491,56,Green,Mistral,neutral,deontology,True
492,57,Black,Mistral,neutral,deontology,False
493,58,Red,Mistral,neutral,deontology,True
494,59,Yellow,Mistral,neutral,deontology,False
495,60,Black,Mistral,neutral,deontology,True
496,61,Green,Mistral,neutral,deontology,False
497,62,Red,Mistral,neutral,deontology,True
498,63,Yellow,Mistral,neutral,deontology,False
499,64,Yellow,Mistral,neutral,deontology,False
500,65,Red,Mistral,neutral,deontology,False
501,66,Red,Mistral,neutral,deontology,False
502,67,Yellow,Mistral,neutral,deontology,False
503,68,Red,Mistral,neutral,deontology,False
504,69,Yellow,Mistral,neutral,deontology,False
505,70,Red,Mistral,neutral,deontology,False
506,71,Yellow,Mistral,neutral,deontology,False
507,72,Black,Mistral,neutral,deontology,True
508,73,Red,Mistral,neutral,deontology,False
509,74,Red,Mistral,neutral,deontology,False
510,75,Yellow,Mistral,neutral,deontology,False
511,76,Yellow,Mistral,neutral,deontology,False
512,77,Yellow,Mistral,neutral,deontology,True
513,78,Green,Mistral,neutral,deontology,False
514,79,Black,Mistral,neutral,deontology,False
515,80,Yellow,Mistral,neutral,deontology,False
516,81,Green,Mistral,neutral,deontology,False
517,82,Green,Mistral,neutral,deontology,True
518,83,Red,Mistral,neutral,deontology,False
519,84,Green,Mistral,neutral,deontology,True
520,85,Red,Mistral,neutral,deontology,False
521,86,Yellow,Mistral,neutral,deontology,False
522,0,Green,Mistral,neutral,,True
523,1,Red,Mistral,neutral,,False
524,2,Red,Mistral,neutral,,True
525,3,Green,Mistral,neutral,,False
526,4,Red,Mistral,neutral,,False
527,5,Yellow,Mistral,neutral,,False
528,6,Yellow,Mistral,neutral,,False
529,7,Red,Mistral,neutral,,False
530,8,Red,Mistral,neutral,,True
531,9,Green,Mistral,neutral,,False
532,10,Yellow,Mistral,neutral,,True
533,11,Green,Mistral,neutral,,False
534,12,Yellow,Mistral,neutral,,False
535,13,Green,Mistral,neutral,,True
536,14,Green,Mistral,neutral,,True
537,15,Green,Mistral,neutral,,True
538,16,Red,Mistral,neutral,,False
539,17,Black,Mistral,neutral,,True
540,18,Green,Mistral,neutral,,True
541,19,Yellow,Mistral,neutral,,False
542,20,Red,Mistral,neutral,,False
543,21,Yellow,Mistral,neutral,,True
544,22,Red,Mistral,neutral,,False
545,23,Red,Mistral,neutral,,False
546,24,Red,Mistral,neutral,,False
547,25,Yellow,Mistral,neutral,,False
548,26,Yellow,Mistral,neutral,,False
549,27,Black,Mistral,neutral,,True
550,28,Red,Mistral,neutral,,False
551,29,Red,Mistral,neutral,,False
552,30,Green,Mistral,neutral,,False
553,31,Green,Mistral,neutral,,True
554,32,Red,Mistral,neutral,,False
555,33,Red,Mistral,neutral,,False
556,34,Yellow,Mistral,neutral,,False
557,35,Red,Mistral,neutral,,True
558,36,Red,Mistral,neutral,,False
559,37,Red,Mistral,neutral,,False
560,38,Green,Mistral,neutral,,True
561,39,Yellow,Mistral,neutral,,False
562,40,Green,Mistral,neutral,,True
563,41,Green,Mistral,neutral,,True
564,42,Green,Mistral,neutral,,False
565,43,Green,Mistral,neutral,,False
566,44,Green,Mistral,neutral,,False
567,45,Green,Mistral,neutral,,True
568,46,Red,Mistral,neutral,,False
569,47,Red,Mistral,neutral,,False
570,48,Red,Mistral,neutral,,False
571,49,Red,Mistral,neutral,,False
572,50,Yellow,Mistral,neutral,,False
573,51,Green,Mistral,neutral,,True
574,52,Black,Mistral,neutral,,False
575,53,Red,Mistral,neutral,,False
576,54,Red,Mistral,neutral,,False
577,55,Green,Mistral,neutral,,True
578,56,Green,Mistral,neutral,,True
579,57,Black,Mistral,neutral,,True
580,58,Red,Mistral,neutral,,False
581,59,Yellow,Mistral,neutral,,False
582,60,Black,Mistral,neutral,,True
583,61,Green,Mistral,neutral,,True
584,62,Red,Mistral,neutral,,False
585,63,Yellow,Mistral,neutral,,False
586,64,Yellow,Mistral,neutral,,True
587,65,Red,Mistral,neutral,,False
588,66,Red,Mistral,neutral,,False
589,67,Yellow,Mistral,neutral,,False
590,68,Red,Mistral,neutral,,False
591,69,Yellow,Mistral,neutral,,False
592,70,Red,Mistral,neutral,,False
593,71,Yellow,Mistral,neutral,,False
594,72,Black,Mistral,neutral,,True
595,73,Red,Mistral,neutral,,False
596,74,Red,Mistral,neutral,,True
597,75,Yellow,Mistral,neutral,,False
598,76,Yellow,Mistral,neutral,,False
599,77,Yellow,Mistral,neutral,,False
600,78,Green,Mistral,neutral,,False
601,79,Black,Mistral,neutral,,True
602,80,Yellow,Mistral,neutral,,False
603,81,Green,Mistral,neutral,,False
604,82,Green,Mistral,neutral,,False
605,83,Red,Mistral,neutral,,False
606,84,Green,Mistral,neutral,,False
607,85,Red,Mistral,neutral,,True
608,86,Yellow,Mistral,neutral,,False
609,0,Green,Mistral,neutral,healthcare,True
610,1,Red,Mistral,neutral,healthcare,False
611,2,Red,Mistral,neutral,healthcare,False
612,3,Green,Mistral,neutral,healthcare,False
613,4,Red,Mistral,neutral,healthcare,False
614,5,Yellow,Mistral,neutral,healthcare,False
615,6,Yellow,Mistral,neutral,healthcare,False
616,7,Red,Mistral,neutral,healthcare,False
617,8,Red,Mistral,neutral,healthcare,False
618,9,Green,Mistral,neutral,healthcare,False
619,10,Yellow,Mistral,neutral,healthcare,False
620,11,Green,Mistral,neutral,healthcare,False
621,12,Yellow,Mistral,neutral,healthcare,False
622,13,Green,Mistral,neutral,healthcare,False
623,14,Green,Mistral,neutral,healthcare,True
624,15,Green,Mistral,neutral,healthcare,True
625,16,Red,Mistral,neutral,healthcare,True
626,17,Black,Mistral,neutral,healthcare,True
627,18,Green,Mistral,neutral,healthcare,False
628,19,Yellow,Mistral,neutral,healthcare,False
629,20,Red,Mistral,neutral,healthcare,False
630,21,Yellow,Mistral,neutral,healthcare,False
631,22,Red,Mistral,neutral,healthcare,False
632,23,Red,Mistral,neutral,healthcare,False
633,24,Red,Mistral,neutral,healthcare,False
634,25,Yellow,Mistral,neutral,healthcare,False
635,26,Yellow,Mistral,neutral,healthcare,True
636,27,Black,Mistral,neutral,healthcare,True
637,28,Red,Mistral,neutral,healthcare,False
638,29,Red,Mistral,neutral,healthcare,False
639,30,Green,Mistral,neutral,healthcare,False
640,31,Green,Mistral,neutral,healthcare,True
641,32,Red,Mistral,neutral,healthcare,False
642,33,Red,Mistral,neutral,healthcare,False
643,34,Yellow,Mistral,neutral,healthcare,False
644,35,Red,Mistral,neutral,healthcare,False
645,36,Red,Mistral,neutral,healthcare,False
646,37,Red,Mistral,neutral,healthcare,True
647,38,Green,Mistral,neutral,healthcare,True
648,39,Yellow,Mistral,neutral,healthcare,False
649,40,Green,Mistral,neutral,healthcare,False
650,41,Green,Mistral,neutral,healthcare,False
651,42,Green,Mistral,neutral,healthcare,False
652,43,Green,Mistral,neutral,healthcare,True
653,44,Green,Mistral,neutral,healthcare,False
654,45,Green,Mistral,neutral,healthcare,True
655,46,Red,Mistral,neutral,healthcare,False
656,47,Red,Mistral,neutral,healthcare,False
657,48,Red,Mistral,neutral,healthcare,False
658,49,Red,Mistral,neutral,healthcare,False
659,50,Yellow,Mistral,neutral,healthcare,False
660,51,Green,Mistral,neutral,healthcare,False
661,52,Black,Mistral,neutral,healthcare,False
662,53,Red,Mistral,neutral,healthcare,False
663,54,Red,Mistral,neutral,healthcare,False
664,55,Green,Mistral,neutral,healthcare,False
665,56,Green,Mistral,neutral,healthcare,False
666,57,Black,Mistral,neutral,healthcare,False
667,58,Red,Mistral,neutral,healthcare,False
668,59,Yellow,Mistral,neutral,healthcare,False
669,60,Black,Mistral,neutral,healthcare,False
670,61,Green,Mistral,neutral,healthcare,True
671,62,Red,Mistral,neutral,healthcare,False
672,63,Yellow,Mistral,neutral,healthcare,False
673,64,Yellow,Mistral,neutral,healthcare,False
674,65,Red,Mistral,neutral,healthcare,False
675,66,Red,Mistral,neutral,healthcare,False
676,67,Yellow,Mistral,neutral,healthcare,False
677,68,Red,Mistral,neutral,healthcare,False
678,69,Yellow,Mistral,neutral,healthcare,False
679,70,Red,Mistral,neutral,healthcare,False
680,71,Yellow,Mistral,neutral,healthcare,False
681,72,Black,Mistral,neutral,healthcare,True
682,73,Red,Mistral,neutral,healthcare,False
683,74,Red,Mistral,neutral,healthcare,False
684,75,Yellow,Mistral,neutral,healthcare,False
685,76,Yellow,Mistral,neutral,healthcare,False
686,77,Yellow,Mistral,neutral,healthcare,False
687,78,Green,Mistral,neutral,healthcare,True
688,79,Black,Mistral,neutral,healthcare,False
689,80,Yellow,Mistral,neutral,healthcare,False
690,81,Green,Mistral,neutral,healthcare,False
691,82,Green,Mistral,neutral,healthcare,True
692,83,Red,Mistral,neutral,healthcare,False
693,84,Green,Mistral,neutral,healthcare,False
694,85,Red,Mistral,neutral,healthcare,False
695,86,Yellow,Mistral,neutral,healthcare,False
696,0,Green,Mistral,neutral,doctor,True
697,1,Red,Mistral,neutral,doctor,False
698,2,Red,Mistral,neutral,doctor,False
699,3,Green,Mistral,neutral,doctor,False
700,4,Red,Mistral,neutral,doctor,False
701,5,Yellow,Mistral,neutral,doctor,False
702,6,Yellow,Mistral,neutral,doctor,False
703,7,Red,Mistral,neutral,doctor,False
704,8,Red,Mistral,neutral,doctor,True
705,9,Green,Mistral,neutral,doctor,True
706,10,Yellow,Mistral,neutral,doctor,False
707,11,Green,Mistral,neutral,doctor,False
708,12,Yellow,Mistral,neutral,doctor,False
709,13,Green,Mistral,neutral,doctor,False
710,14,Green,Mistral,neutral,doctor,True
711,15,Green,Mistral,neutral,doctor,True
712,16,Red,Mistral,neutral,doctor,True
713,17,Black,Mistral,neutral,doctor,False
714,18,Green,Mistral,neutral,doctor,False
715,19,Yellow,Mistral,neutral,doctor,False
716,20,Red,Mistral,neutral,doctor,True
717,21,Yellow,Mistral,neutral,doctor,False
718,22,Red,Mistral,neutral,doctor,False
719,23,Red,Mistral,neutral,doctor,False
720,24,Red,Mistral,neutral,doctor,True
721,25,Yellow,Mistral,neutral,doctor,False
722,26,Yellow,Mistral,neutral,doctor,False
723,27,Black,Mistral,neutral,doctor,False
724,28,Red,Mistral,neutral,doctor,False
725,29,Red,Mistral,neutral,doctor,False
726,30,Green,Mistral,neutral,doctor,False
727,31,Green,Mistral,neutral,doctor,True
728,32,Red,Mistral,neutral,doctor,False
729,33,Red,Mistral,neutral,doctor,True
730,34,Yellow,Mistral,neutral,doctor,False
731,35,Red,Mistral,neutral,doctor,False
732,36,Red,Mistral,neutral,doctor,False
733,37,Red,Mistral,neutral,doctor,False
734,38,Green,Mistral,neutral,doctor,False
735,39,Yellow,Mistral,neutral,doctor,False
736,40,Green,Mistral,neutral,doctor,True
737,41,Green,Mistral,neutral,doctor,False
738,42,Green,Mistral,neutral,doctor,True
739,43,Green,Mistral,neutral,doctor,False
740,44,Green,Mistral,neutral,doctor,False
741,45,Green,Mistral,neutral,doctor,True
742,46,Red,Mistral,neutral,doctor,False
743,47,Red,Mistral,neutral,doctor,False
744,48,Red,Mistral,neutral,doctor,True
745,49,Red,Mistral,neutral,doctor,False
746,50,Yellow,Mistral,neutral,doctor,False
747,51,Green,Mistral,neutral,doctor,True
748,52,Black,Mistral,neutral,doctor,False
749,53,Red,Mistral,neutral,doctor,False
750,54,Red,Mistral,neutral,doctor,False
751,55,Green,Mistral,neutral,doctor,True
752,56,Green,Mistral,neutral,doctor,True
753,57,Black,Mistral,neutral,doctor,False
754,58,Red,Mistral,neutral,doctor,False
755,59,Yellow,Mistral,neutral,doctor,False
756,60,Black,Mistral,neutral,doctor,False
757,61,Green,Mistral,neutral,doctor,True
758,62,Red,Mistral,neutral,doctor,False
759,63,Yellow,Mistral,neutral,doctor,False
760,64,Yellow,Mistral,neutral,doctor,False
761,65,Red,Mistral,neutral,doctor,False
762,66,Red,Mistral,neutral,doctor,False
763,67,Yellow,Mistral,neutral,doctor,False
764,68,Red,Mistral,neutral,doctor,True
765,69,Yellow,Mistral,neutral,doctor,False
766,70,Red,Mistral,neutral,doctor,False
767,71,Yellow,Mistral,neutral,doctor,False
768,72,Black,Mistral,neutral,doctor,True
769,73,Red,Mistral,neutral,doctor,False
770,74,Red,Mistral,neutral,doctor,False
771,75,Yellow,Mistral,neutral,doctor,False
772,76,Yellow,Mistral,neutral,doctor,False
773,77,Yellow,Mistral,neutral,doctor,False
774,78,Green,Mistral,neutral,doctor,False
775,79,Black,Mistral,neutral,doctor,False
776,80,Yellow,Mistral,neutral,doctor,False
777,81,Green,Mistral,neutral,doctor,False
778,82,Green,Mistral,neutral,doctor,False
779,83,Red,Mistral,neutral,doctor,False
780,84,Green,Mistral,neutral,doctor,False
781,85,Red,Mistral,neutral,doctor,False
782,86,Yellow,Mistral,neutral,doctor,False
783,0,Green,Mistral,action,no_ethics,True
784,1,Red,Mistral,action,no_ethics,False
785,2,Red,Mistral,action,no_ethics,False
786,3,Green,Mistral,action,no_ethics,True
787,4,Red,Mistral,action,no_ethics,False
788,5,Yellow,Mistral,action,no_ethics,False
789,6,Yellow,Mistral,action,no_ethics,False
790,7,Red,Mistral,action,no_ethics,True
791,8,Red,Mistral,action,no_ethics,True
792,9,Green,Mistral,action,no_ethics,False
793,10,Yellow,Mistral,action,no_ethics,False
794,11,Green,Mistral,action,no_ethics,False
795,12,Yellow,Mistral,action,no_ethics,False
796,13,Green,Mistral,action,no_ethics,False
797,14,Green,Mistral,action,no_ethics,True
798,15,Green,Mistral,action,no_ethics,True
799,16,Red,Mistral,action,no_ethics,True
800,17,Black,Mistral,action,no_ethics,True
801,18,Green,Mistral,action,no_ethics,True
802,19,Yellow,Mistral,action,no_ethics,False
803,20,Red,Mistral,action,no_ethics,False
804,21,Yellow,Mistral,action,no_ethics,True
805,22,Red,Mistral,action,no_ethics,False
806,23,Red,Mistral,action,no_ethics,False
807,24,Red,Mistral,action,no_ethics,False
808,25,Yellow,Mistral,action,no_ethics,False
809,26,Yellow,Mistral,action,no_ethics,False
810,27,Black,Mistral,action,no_ethics,False
811,28,Red,Mistral,action,no_ethics,False
812,29,Red,Mistral,action,no_ethics,False
813,30,Green,Mistral,action,no_ethics,False
814,31,Green,Mistral,action,no_ethics,False
815,32,Red,Mistral,action,no_ethics,True
816,33,Red,Mistral,action,no_ethics,False
817,34,Yellow,Mistral,action,no_ethics,False
818,35,Red,Mistral,action,no_ethics,False
819,36,Red,Mistral,action,no_ethics,False
820,37,Red,Mistral,action,no_ethics,False
821,38,Green,Mistral,action,no_ethics,True
822,39,Yellow,Mistral,action,no_ethics,False
823,40,Green,Mistral,action,no_ethics,False
824,41,Green,Mistral,action,no_ethics,False
825,42,Green,Mistral,action,no_ethics,False
826,43,Green,Mistral,action,no_ethics,True
827,44,Green,Mistral,action,no_ethics,False
828,45,Green,Mistral,action,no_ethics,True
829,46,Red,Mistral,action,no_ethics,False
830,47,Red,Mistral,action,no_ethics,False
831,48,Red,Mistral,action,no_ethics,False
832,49,Red,Mistral,action,no_ethics,False
833,50,Yellow,Mistral,action,no_ethics,False
834,51,Green,Mistral,action,no_ethics,True
835,52,Black,Mistral,action,no_ethics,False
836,53,Red,Mistral,action,no_ethics,False
837,54,Red,Mistral,action,no_ethics,False
838,55,Green,Mistral,action,no_ethics,True
839,56,Green,Mistral,action,no_ethics,True
840,57,Black,Mistral,action,no_ethics,False
841,58,Red,Mistral,action,no_ethics,False
842,59,Yellow,Mistral,action,no_ethics,False
843,60,Black,Mistral,action,no_ethics,False
844,61,Green,Mistral,action,no_ethics,False
845,62,Red,Mistral,action,no_ethics,False
846,63,Yellow,Mistral,action,no_ethics,False
847,64,Yellow,Mistral,action,no_ethics,False
848,65,Red,Mistral,action,no_ethics,False
849,66,Red,Mistral,action,no_ethics,False
850,67,Yellow,Mistral,action,no_ethics,False
851,68,Red,Mistral,action,no_ethics,False
852,69,Yellow,Mistral,action,no_ethics,False
853,70,Red,Mistral,action,no_ethics,False
854,71,Yellow,Mistral,action,no_ethics,False
855,72,Black,Mistral,action,no_ethics,True
856,73,Red,Mistral,action,no_ethics,False
857,74,Red,Mistral,action,no_ethics,True
858,75,Yellow,Mistral,action,no_ethics,False
859,76,Yellow,Mistral,action,no_ethics,False
860,77,Yellow,Mistral,action,no_ethics,False
861,78,Green,Mistral,action,no_ethics,True
862,79,Black,Mistral,action,no_ethics,False
863,80,Yellow,Mistral,action,no_ethics,False
864,81,Green,Mistral,action,no_ethics,False
865,82,Green,Mistral,action,no_ethics,True
866,83,Red,Mistral,action,no_ethics,False
867,84,Green,Mistral,action,no_ethics,False
